name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
The Hedges: Sunny urban garden home,Jamaica Plain,42.31167890935931,-71.10613378330365,Private room,2,1.0,1.0,1.0,75.0,0.97,Boston,0
Two Room Master Suite with Spa Bath,Allston-Brighton,42.31778979561365,-71.1048969299189,Entire home/apt,5,1.0,2.0,4.0,189.0,0.96,Boston,1
Cozy JP resting place,Jamaica Plain,42.30509465867193,-71.11347197529106,Private room,2,1.0,1.0,1.0,75.0,0.98,Boston,0
Sweet quiet room in JP condo,Allston-Brighton,42.30979783758637,-71.10174213111895,Private room,2,1.0,1.0,1.0,55.0,0.97,Boston,1
Private room in Jamaica Plain!,Jamaica Plain,42.30514212999488,-71.10732685642546,Private room,2,1.0,1.0,1.0,125.0,0.86,Boston,0
Earth Sanctuary of Abundant Health,Jamaica Plain,42.29982377922978,-71.1125721982785,Private room,1,1.0,1.0,1.0,88.0,0.96,Boston,0
Clean Room in the JP Neighborhood,Jamaica Plain,42.31408312040112,-71.09973816777216,Private room,1,1.0,1.0,1.0,72.0,0.8,Boston,0
"Affordable Boston, The dream of the 90's lives.",Allston-Brighton,42.30731115456584,-71.1033973053676,Shared room,1,1.0,1.0,1.0,22.0,0.6,Boston,1
Luxurious Room includes Jacuzzi,Jamaica Plain,42.29098869791823,-71.11273710117392,Private room,2,1.0,1.0,1.0,90.0,0.9,Boston,0
Cozy Jamaica Plain Pad,Jamaica Plain,42.311582429734166,-71.11170822620524,Private room,2,2.0,1.0,1.0,150.0,0.94,Boston,1
Quiet and close to subway!,Jamaica Plain,42.30866054389428,-71.10156432201525,Private room,2,1.0,1.0,1.0,82.0,0.95,Boston,0
"Close to universities, hospitals",Jamaica Plain,42.32137450834045,-71.10605960468904,Private room,2,1.0,1.0,1.0,84.0,0.94,Boston,0
Cheery skylit room w/ Queen bed,Jamaica Plain,42.30516878181586,-71.11290752873131,Entire home/apt,4,1.0,2.0,2.0,160.0,0.94,Boston,0
"Jamaica Plain condo, great location",Jamaica Plain,42.32002043052011,-71.10459796160309,Entire home/apt,4,1.5,2.0,2.0,110.0,1.0,Boston,0
Modern and charming condo in JP.,Jamaica Plain,42.30694320005583,-71.1140157501951,Entire home/apt,4,1.0,2.0,2.0,150.0,0.98,Boston,0
Cozy Room with Shared Bath,Jamaica Plain,42.29366807552507,-71.1178941365324,Private room,2,1.0,1.0,1.0,80.0,1.0,Boston,0
Diamond House -3- Victorian Jewel,Jamaica Plain,42.31881358606432,-71.10321896739352,Entire home/apt,5,1.0,2.0,3.0,225.0,1.0,Boston,0
Modern Townhouse in Hippest 'Hood,Jamaica Plain,42.30601750771409,-71.10953838978847,Private room,2,1.5,1.0,1.0,65.0,0.96,Boston,0
Beautiful 3 BR with Great Location,Jamaica Plain,42.31885964759071,-71.11451513447908,Entire home/apt,8,1.0,3.0,4.0,275.0,0.93,Boston,0
Rare! Boston house near everything,Jamaica Plain,42.3116187482491,-71.10910186178728,Entire home/apt,8,2.5,3.0,3.0,300.0,1.0,Boston,0
