name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
Nob Hill Mini Mansion 4b/4b,Nob Hill,37.79114,-122.41029,Entire home/apt,10,4,4,4,989,0.88,San Francisco,0
Mid-Century Garden Flat in Charming Upper Castro Victorian,The Castro,37.75565,-122.44022,Entire home/apt,4,1,1,2,250,0.99,San Francisco,0
Lovely Private Suite Near UCSF- Monthly Only,Inner Sunset,37.75855,-122.46444,Entire home/apt,2,1,1,2,99,0.98,San Francisco,0
Contemporary Penthouse with Two Beds and City View,Russian Hill,37.80301,-122.41581,Private room,3,2,1,2,99,0.97,San Francisco,0
Spacious SF Getaway Near The Ocean,Outer Sunset,37.74174,-122.50435,Entire home/apt,4,1,1,1,135,0.94,San Francisco,0
Dorm Bed In Friendly Hostel Community #4,Financial District,37.79271,-122.40383,Shared room,4,0,1,4,45,0.93,San Francisco,0
One Bedroom SOMA apartment,SoMa,37.77499,-122.40635,Entire home/apt,2,1,1,1,160,0.97,San Francisco,0
Spacious and Airy Flat Steps from Castro with a Great Yard,The Castro,37.75967,-122.44257,Entire home/apt,5,1,2,3,225,0.97,San Francisco,0
North Beach Chinatown Apartment,Chinatown,37.79532,-122.40863,Entire home/apt,4,1,2,2,135,0.97,San Francisco,0
1 Bedroom near Ballet Symphony,Tenderloin,37.78304,-122.41942,Entire home/apt,2,1,1,1,138,0.9,San Francisco,0
Potrero Hill Condo with View of Bay,Potrero Hill,37.75889,-122.39539,Entire home/apt,5,1,3,3,280,0.98,San Francisco,0
Spacious Quiet Rm w/Private Ensuite Bath in Castro,The Castro,37.76188,-122.44215,Private room,2,1,1,1,139,0.98,San Francisco,0
Private entrance bd/bath by GG Park,Richmond District,37.77579,-122.45504,Private room,1,1,1,1,100,0.97,San Francisco,0
Room with Bay Views,Bernal Heights,37.7435,-122.40805,Private room,2,1,1,1,75,0.91,San Francisco,0
Stay in the heart of North Beach!,Telegraph Hill,37.80134,-122.40714,Private room,2,1,1,1,89,0.88,San Francisco,0
Dorm Bed In Friendly Hostel Community #6,Financial District,37.7947,-122.40374,Shared room,1,1,1,1,45,0.92,San Francisco,0
Dorm Bed In Friendly Hostel Community #5,Financial District,37.79441,-122.40473,Shared room,5,1,1,5,45,0.94,San Francisco,0
Golden Gate Park 1BR,Cole Valley,37.7647,-122.45368,Entire home/apt,2,1,1,2,114,0.9,San Francisco,0
Studio with Rooftop Deck,Tenderloin,37.78322,-122.42025,Entire home/apt,2,1,0,1,138,0.8,San Francisco,0
Delux Digs by Buena Vista Park,The Castro,37.76294,-122.43974,Private room,2,1.5,1,1,115,0.94,San Francisco,0
Elegant Victorian Flat in Haight,Cole Valley,37.76711,-122.45151,Entire home/apt,2,1,1,1,250,0.95,San Francisco,0
Luxury Condo Downtown/ SoMa,SoMa,37.77641,-122.40454,Entire home/apt,3,1,1,1,133,0.98,San Francisco,0
SURF Ocean Beach + Golden Gate Park,Outer Sunset,37.75553,-122.50707,Shared room,1,1.5,1,2,35,0.91,San Francisco,0
